title,salary,hinhthuc,capbac,gender,ex,add,keyword,link
Tuyển Kỹ Sư Hvac Lương 15 - 20Tr/Tháng Hỗ Trợ Chỗ Ở + Phụ Cấp Theo Dự Án,15-20 triệu,Toàn thời gian,Nhân viên,Nam,2 năm,Hưng Yên,"Điện / Điện tử / Điện lạnh,Cơ khí / Chế tạo / Tự động hóa,Xây dựng",https://www.topcv.vn/viec-lam/ky-su-hvac-luong-15-20tr-thang-ho-tro-cho-o-phu-cap-theo-du-an/805898.html
Tuyển Nhân Viên Tư Vấn Nội Thất Gia Đình Online,8-20 triệu,Toàn thời gian,Nhân viên,Nữ,1 năm,Hồ Chí Minh,"Kinh doanh / Bán hàng,Hàng gia dụng,Tư vấn",https://www.topcv.vn/viec-lam/nhan-vien-tu-van-noi-that-gia-dinh-online/809116.html
Tuyển Nhân Viên Kinh Doanh - Chăm Sóc Khách Hàng (Lương 10 Triệu Đến 15 Triệu / Tháng) - Hồ Chí Minh,10-15 triệu,Toàn thời gian,Nhân viên,Nữ,Không yêu cầu kinh nghiệm,Hồ Chí Minh,"Tư vấn,Kinh doanh / Bán hàng,Dịch vụ khách hàng",https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh-cham-soc-khach-hang-luong-10-trieu-den-15-trieu-thang-ho-chi-minh/810635.html
Tuyển Chuyên Viên Tư Vấn Tài Chính (Lương Từ 14 Triệu + Hh 30 - 40%),Trên 16 triệu,Toàn thời gian,Nhân viên,Không yêu cầu,1 năm,Hồ Chí Minh,"Kinh doanh / Bán hàng,Bảo hiểm,Tài chính / Đầu tư",https://www.topcv.vn/viec-lam/chuyen-vien-tu-van-tai-chinh-luong-tu-14-trieu-hh-30-40/803343.html
Tuyển Nhân Viên Xử Lý Visa (Thu Nhập 7 - 10 Triệu Đồng),Trên 7 triệu,Toàn thời gian,Nhân viên,Nữ,1 năm,Hồ Chí Minh,"Du lịch,Biên / Phiên dịch,Hành chính / Văn phòng",https://www.topcv.vn/viec-lam/nhan-vien-xu-ly-visa-thu-nhap-7-10-trieu-dong/732647.html
Tuyển Nhân Viên Kế Toán,8-15 triệu,Toàn thời gian,Nhân viên,Không yêu cầu,Không yêu cầu kinh nghiệm,Hồ Chí Minh,"Kế toán / Kiểm toán,Ngân hàng / Tài chính",https://www.topcv.vn/viec-lam/nhan-vien-ke-toan/809074.html
Tuyển Quản Lý Khách Hàng - Vùng Đồng Bằng Sông Hồng (Thái Nguyên/Phú Thọ/Hải Dương/Vĩnh Phúc),8-15 triệu,Toàn thời gian,Nhân viên,Không yêu cầu,Không yêu cầu kinh nghiệm,Hải Dương,"Ngân hàng / Tài chính,Kinh doanh / Bán hàng,Bảo hiểm",https://www.topcv.vn/viec-lam/quan-ly-khach-hang-vung-dong-bang-song-hong-thai-nguyen-phu-tho-hai-duong-vinh-phuc/809971.html
Tuyển Nhân Viên Tư Vấn Tuyển Sinh (Kinh Doanh) - Thu Nhập Upto 20M,Trên 20 triệu,Toàn thời gian,Nhân viên,Không yêu cầu,Không yêu cầu kinh nghiệm,Hà Nội,"Giáo dục / Đào tạo,Kinh doanh / Bán hàng,Tư vấn",https://www.topcv.vn/viec-lam/nhan-vien-tu-van-tuyen-sinh-kinh-doanh-thu-nhap-upto-20m/807997.html
Tuyển Nhân Viên Tuyển Dụng - Thu Nhập Từ 8 -12 Triệu,8-12 triệu,Toàn thời gian,Nhân viên,Nữ,1 năm,Hà Nội,"Nhân sự,Giáo dục / Đào tạo,Hành chính / Văn phòng",https://www.topcv.vn/viec-lam/nhan-vien-tuyen-dung-thu-nhap-tu-8-12-trieu/775672.html
Tuyển Chuyên Viên Phân Tích Nghiệp Vụ - Business Analyst Tại Hà Nội (Lương 12 - 25 Triệu),12-25 triệu,Toàn thời gian,Nhân viên,Không yêu cầu,1 năm,Hà Nội,"IT phần mềm,Công nghệ thông tin,Việc làm IT",https://www.topcv.vn/viec-lam/chuyen-vien-phan-tich-nghiep-vu-business-analyst-tai-ha-noi-luong-12-25-trieu/806834.html
